5436e3acbae478396759f0d7;dup_6x2
ISIC_0000004;dup_6x2
5436e3d1bae478396759f315;dup_8x2
ISIC_0000290;dup_8x2
5436e3d0bae478396759f307;dup_9x2
ISIC_0000283;dup_9x2
5436e3cfbae478396759f2f7;dup_10x2
ISIC_0000275;dup_10x2
54e755ffbae47850e86ce06c;dup_11x2
ISIC_0001133;dup_11x2
5436e3d0bae478396759f303;dup_12x2
ISIC_0000281;dup_12x2
5436e3b3bae478396759f15d;dup_14x2
ISIC_0000071;dup_14x2
54e7dae0bae4780ec59cca44;dup_25x2
ISIC_0003174;dup_25x2
5436e3b1bae478396759f12f;dup_38x2
ISIC_0000048;dup_38x2
558d60debae47801cf734576;dup_39x2
ISIC_0010047;dup_39x2
5436e3d2bae478396759f337;dup_46x2
ISIC_0000307;dup_46x2
57eea38f9fc3c12a89bb57e8;dup_47x2
ISIC_0012314;dup_47x2
581cd8fe9fc3c13dcd0e37b4;dup_51x2
ISIC_0013890;dup_51x2
5436e3bcbae478396759f1bd;dup_61x2
ISIC_0000118;dup_61x2
5436e3cdbae478396759f2cd;dup_63x2
ISIC_0000254;dup_63x2
54e7e0a4bae4780ec59cf2ce;dup_65x2
54e7e17fbae4780ec59cf8fa;dup_65x2
54e77fdcbae478166c01ea0f;dup_68x2
54e7d680bae4780ec59cad8d;dup_68x2
558d64d0bae47801cf73559c;dup_74x2
ISIC_0011324;dup_74x2
54e75601bae47850e86ce099;dup_81x2
ISIC_0001142;dup_81x2
581cd60b9fc3c13dcd0e09dc;dup_89x2
ISIC_0012670;dup_89x2
581cd6649fc3c13dcd0e10cc;dup_91x2
ISIC_0012854;dup_91x2
5436e3b9bae478396759f19b;dup_92x2
ISIC_0000101;dup_92x2
581cd6249fc3c13dcd0e0bec;dup_103x2
ISIC_0012726;dup_103x2
581cd76e9fc3c13dcd0e2233;dup_104x2
ISIC_0013321;dup_104x2
558d646cbae47801cf73534a;dup_109x2
ISIC_0011126;dup_109x2
5436e3b4bae478396759f165;dup_115x2
ISIC_0000075;dup_115x2
57eea3939fc3c12a89bb584b;dup_122x4
ISIC_0012325;dup_122x4
581cd8c49fc3c13dcd0e3484;dup_122x4
ISIC_0013806;dup_122x4
54e77fdebae478166c01ea23;dup_127x2
54e7d681bae4780ec59cada1;dup_127x2
581cd6059fc3c13dcd0e093c;dup_131x2
ISIC_0012654;dup_131x2
581cd9359fc3c13dcd0e3abd;dup_142x2
